"skill","job_count","percentage"
"REST API","58","39.46"
"SQL","44","29.93"
"Agile","34","23.13"
"Python","32","21.77"
"JavaScript","28","19.05"
"AWS","24","16.33"
"Java","20","13.61"
"Git","19","12.93"
"React","18","12.24"
"CI/CD","15","10.2"
"Docker","11","7.48"
"Node.js","10","6.8"
"TypeScript","9","6.12"
"Kafka","7","4.76"
"Machine Learning","7","4.76"
"Microservices","5","3.4"
"Kubernetes","5","3.4"
"Terraform","4","2.72"
"Spring Boot","3","2.04"
"NLP","2","1.36"
"MongoDB","2","1.36"
"PyTorch","2","1.36"
"TensorFlow","1","0.68"
"Deep Learning","1","0.68"
"Prometheus","1","0.68"
"Pandas","1","0.68"
